               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092419,            0.048028,            0.023811,             0.74902,             0.10511,            0.077147,            0.026558,            0.083186,            0.022965,            0.026588,            0.070224,           0.0033085,           0.0033085
                   1,             0.07198,             0.04132,            0.015475,             0.82541,             0.11111,             0.12816,            0.046833,            0.071635,            0.020641,            0.026585,            0.040092,           0.0065103,           0.0065103
                   2,            0.065551,            0.038744,            0.012245,             0.78854,             0.11251,             0.12106,             0.04855,             0.07484,            0.020625,            0.029724,           0.0098289,           0.0095801,           0.0095801
                   3,            0.057801,            0.037264,           0.0088929,             0.54588,             0.17417,             0.22289,            0.098389,            0.057801,            0.020561,            0.029218,            0.009406,            0.009406,            0.009406
                   4,            0.051161,            0.035608,            0.007238,             0.46918,             0.28168,             0.20385,             0.10437,             0.05289,             0.02335,            0.025688,            0.009406,            0.009406,            0.009406
                   5,            0.047211,            0.034294,           0.0062065,             0.64267,             0.22643,             0.27497,             0.12817,            0.051578,            0.021463,            0.032878,            0.009208,            0.009208,            0.009208
                   6,            0.045253,            0.032569,           0.0053447,             0.85443,             0.22585,             0.30475,             0.17411,            0.048413,            0.022879,            0.027969,             0.00901,             0.00901,             0.00901
                   7,            0.042578,            0.032439,           0.0047478,             0.65686,             0.25706,             0.33364,             0.18947,            0.047513,            0.022129,             0.02482,            0.008812,            0.008812,            0.008812
                   8,            0.041562,            0.031421,           0.0042827,              0.3213,             0.45716,             0.37128,             0.19369,            0.052629,            0.021646,             0.02007,            0.008614,            0.008614,            0.008614
                   9,            0.040477,            0.031811,           0.0038092,             0.87545,             0.26405,             0.39328,             0.20844,             0.04761,            0.021437,            0.023883,            0.008416,            0.008416,            0.008416
                  10,            0.039277,            0.031312,           0.0033938,             0.42453,             0.42012,             0.35531,             0.20309,            0.046443,             0.02121,            0.022304,            0.008218,            0.008218,            0.008218
                  11,            0.038483,             0.03074,           0.0030101,             0.50461,             0.39879,             0.38727,             0.21487,            0.050339,            0.022282,             0.01841,             0.00802,             0.00802,             0.00802
                  12,            0.037811,            0.030728,           0.0029518,             0.48065,             0.42413,             0.40178,             0.23565,             0.04899,            0.021306,            0.022176,            0.007822,            0.007822,            0.007822
                  13,            0.037096,            0.029839,            0.002476,             0.60679,             0.38395,             0.42726,             0.21229,            0.046019,            0.021605,            0.018381,            0.007624,            0.007624,            0.007624
                  14,            0.037209,            0.029999,           0.0022855,             0.46649,             0.34825,             0.33473,             0.18889,            0.047254,             0.02251,            0.013554,            0.007426,            0.007426,            0.007426
                  15,            0.035826,            0.029034,           0.0020765,             0.44873,             0.32897,             0.31423,             0.19598,            0.044517,            0.022875,            0.019426,            0.007228,            0.007228,            0.007228
                  16,            0.035118,            0.028043,           0.0019395,             0.44508,             0.46087,             0.40542,             0.23998,            0.046753,            0.020692,            0.018671,             0.00703,             0.00703,             0.00703
                  17,            0.034813,            0.027957,           0.0018366,             0.65776,             0.39009,             0.42572,             0.25254,            0.047174,            0.020694,             0.01795,            0.006832,            0.006832,            0.006832
                  18,            0.034846,            0.028564,           0.0016323,             0.51183,             0.40856,              0.4158,             0.24397,            0.044299,            0.020279,            0.019665,            0.006634,            0.006634,            0.006634
                  19,             0.03391,            0.027875,           0.0014905,             0.72373,             0.33013,             0.40524,             0.25277,            0.043949,            0.023026,            0.013901,            0.006436,            0.006436,            0.006436
                  20,            0.034134,            0.027441,           0.0015158,             0.67427,             0.38117,             0.42124,             0.27151,             0.04426,            0.021684,            0.012311,            0.006238,            0.006238,            0.006238
                  21,             0.03299,            0.027452,           0.0013429,             0.80105,             0.34699,             0.45005,             0.29096,            0.045495,            0.024144,            0.013697,             0.00604,             0.00604,             0.00604
                  22,            0.032461,            0.026947,           0.0014421,             0.68117,             0.46583,             0.45196,             0.29598,            0.043431,            0.022892,           0.0097179,            0.005842,            0.005842,            0.005842
                  23,            0.032372,            0.027634,           0.0014148,             0.59732,             0.45654,             0.45641,             0.25708,            0.045515,            0.023124,            0.013401,            0.005644,            0.005644,            0.005644
                  24,            0.032338,            0.027531,           0.0012249,             0.50849,              0.4097,             0.40772,             0.24924,            0.046284,            0.021398,            0.027045,            0.005446,            0.005446,            0.005446
                  25,            0.031502,            0.027293,           0.0012551,             0.63118,              0.4021,             0.41017,             0.23309,            0.044892,            0.021202,             0.02506,            0.005248,            0.005248,            0.005248
                  26,             0.03127,            0.026462,           0.0011633,             0.47858,             0.34515,             0.34919,              0.2034,            0.044689,            0.022272,            0.025009,             0.00505,             0.00505,             0.00505
                  27,            0.030424,            0.025562,           0.0010746,             0.48922,             0.42746,             0.41026,             0.25061,            0.045227,            0.023548,            0.028246,            0.004852,            0.004852,            0.004852
                  28,            0.030739,            0.025748,           0.0010072,             0.57579,             0.39692,              0.4156,             0.23428,            0.047171,            0.024054,            0.016113,            0.004654,            0.004654,            0.004654
                  29,            0.029975,            0.025718,          0.00093151,             0.74879,             0.33227,             0.44849,             0.27383,            0.044021,            0.023509,            0.017545,            0.004456,            0.004456,            0.004456
                  30,            0.030073,             0.02596,           0.0010179,             0.75714,             0.43345,             0.48187,             0.29721,            0.042569,            0.022905,            0.019524,            0.004258,            0.004258,            0.004258
                  31,            0.029661,            0.025517,          0.00091735,             0.75234,             0.42279,             0.44812,             0.29466,            0.043612,            0.023955,            0.019726,             0.00406,             0.00406,             0.00406
                  32,            0.029181,            0.025145,          0.00089364,             0.67215,             0.41992,              0.4514,             0.27647,            0.043665,            0.024322,            0.024368,            0.003862,            0.003862,            0.003862
                  33,             0.02879,            0.025653,          0.00084377,             0.81025,             0.33606,             0.44898,             0.25966,            0.044996,            0.022959,            0.017314,            0.003664,            0.003664,            0.003664
                  34,            0.028444,            0.025153,          0.00081015,              0.7634,             0.43221,             0.49117,             0.31827,             0.04531,            0.024037,            0.012352,            0.003466,            0.003466,            0.003466
                  35,            0.028471,            0.024863,           0.0008032,             0.69809,             0.42573,             0.45724,              0.2911,            0.047888,             0.02367,            0.010176,            0.003268,            0.003268,            0.003268
                  36,            0.028477,            0.025132,          0.00072413,             0.79342,             0.42523,             0.49271,             0.28306,            0.044134,            0.022603,            0.018266,             0.00307,             0.00307,             0.00307
                  37,            0.027919,            0.024592,          0.00066446,             0.82395,             0.38615,             0.47636,             0.30063,            0.042508,            0.023216,            0.019688,            0.002872,            0.002872,            0.002872
                  38,            0.027425,            0.024736,          0.00073138,             0.57318,             0.49489,             0.47455,             0.29977,            0.043593,            0.024072,             0.01462,            0.002674,            0.002674,            0.002674
                  39,            0.027473,            0.025129,          0.00065897,             0.52369,             0.46077,             0.44933,              0.2799,            0.043666,            0.023775,            0.016088,            0.002476,            0.002476,            0.002476
                  40,            0.027455,            0.023817,          0.00061612,             0.52534,             0.53022,             0.49492,             0.30654,            0.045193,            0.024242,             0.02027,            0.002278,            0.002278,            0.002278
                  41,            0.026654,            0.024588,          0.00066524,             0.65391,             0.41819,             0.46721,             0.27977,            0.046852,            0.024552,            0.023985,             0.00208,             0.00208,             0.00208
                  42,             0.02645,              0.0236,          0.00056704,             0.58331,             0.41642,             0.43808,             0.27449,            0.045327,            0.024813,            0.020631,            0.001882,            0.001882,            0.001882
                  43,            0.026222,            0.023792,          0.00060514,             0.64716,             0.45483,             0.47783,             0.28801,            0.047378,            0.024084,            0.018562,            0.001684,            0.001684,            0.001684
                  44,            0.026054,            0.023871,           0.0005942,             0.67115,             0.42066,             0.47783,             0.29561,            0.044977,            0.025113,            0.019339,            0.001486,            0.001486,            0.001486
                  45,            0.025087,            0.022646,          0.00055714,             0.73164,             0.46466,             0.48596,             0.29846,            0.045044,            0.025178,            0.014277,            0.001288,            0.001288,            0.001288
                  46,            0.025764,            0.023612,          0.00056119,             0.46983,             0.48216,              0.4468,             0.26981,            0.044702,            0.024659,            0.019122,             0.00109,             0.00109,             0.00109
                  47,            0.025263,            0.023765,           0.0004874,             0.55827,             0.41271,             0.42907,             0.26249,            0.045843,            0.025005,            0.022288,            0.000892,            0.000892,            0.000892
                  48,            0.025271,            0.023087,          0.00047614,             0.58607,             0.48229,             0.47536,              0.2931,            0.044131,            0.024946,            0.018989,            0.000694,            0.000694,            0.000694
                  49,            0.025279,            0.023638,          0.00053689,             0.75447,              0.3977,             0.46623,             0.28609,            0.044378,            0.024976,            0.022808,            0.000496,            0.000496,            0.000496
